id,name,first,last,us_seed,us_rd,p1,p2,p3,p4,p5,p6,country,age,year_w,year_l,recent_w,recent_l,upset_ok
sonme,Zeynep Sonmez,Zeynep,Sonmez,51,2,0.64,0.90,0.43,0.49,0.38,0.01,TUR,24,6,4,7,3,0
manei,Jessica Bouzas Maneiro,Jessica,Bouzas Maneiro,52,2,0.66,0.84,0.44,0.53,0.39,0.02,ESP,23,7,7,5,5,0
oliyn,Oleksandra Oliynykova,Oleksandra,Oliynykova,53,2,0.76,0.76,0.41,0.47,0.43,0.00,UKR,25,15,9,5,5,1
valen,Tereza Valentova,Tereza,Valentova,54,2,0.63,0.87,0.44,0.55,0.40,0.03,CZE,19,5,4,4,6,0
staro,Yuliia Starodubtseva,Yuliia,Starodubtseva,55,2,0.65,0.91,0.43,0.48,0.39,0.02,UKR,26,13,7,4,6,0
sierr,Solana Sierra,Solana,Sierra,56,2,0.65,0.81,0.44,0.53,0.41,0.03,ARG,22,9,5,6,4,0
kessl,Mccartney Kessler,Mccartney,Kessler,57,2,0.63,0.88,0.41,0.49,0.36,0.03,USA,27,7,6,4,6,0
gibso,Talia Gibson,Talia,Gibson,58,2,0.61,0.82,0.36,0.46,0.36,0.09,AUS,22,3,6,3,7,0
linet,Magda Linette,Magda,Linette,59,2,0.59,0.94,0.36,0.46,0.39,0.07,POL,34,3,4,5,5,0
boult,Katie Boulter,Katie,Boulter,60,2,0.61,0.82,0.39,0.49,0.40,0.07,GBR,29,5,6,5,5,0
ruzic,Antonia Ruzic,Antonia,Ruzic,61,2,0.66,0.88,0.39,0.49,0.36,0.02,CRO,23,5,7,5,5,0
golub,Viktorija Golubic,Viktorija,Golubic,62,2,0.70,0.92,0.40,0.53,0.37,0.01,SUI,33,8,5,7,3,0
stear,Peyton Stearns,Peyton,Stearns,63,2,0.64,0.89,0.39,0.50,0.40,0.05,USA,24,6,6,5,5,0
zhang,Shuai Zhang,Shuai,Zhang,64,2,0.68,0.86,0.34,0.45,0.36,0.04,CHN,37,5,9,5,5,0
kasat,Daria Kasatkina,Daria,Kasatkina,65,2,0.72,0.77,0.45,0.56,0.38,0.03,AUS,29,11,5,4,6,0
